"Jan 24, 2018",,,,,,,,,,,,,,,9:28:03 AM,,,,,,
The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,
"Office of Institutional Reporting, Research, and Information Systems",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Flow by Major Progression Report ,,,,,,,,,,,,,,,,,,,,,
First Time in College (FTIC) Students ,,,,,,,,,,,,,,,,,,,,,
IPEDS (Fall and Summer Entrants Combined),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NATURAL SCIENCES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Entering Gender: ,,,,,,,,,,,Entering Residence: ,,,,,,,,,,
Entering Ethnicity/Race: ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Continuing Detail ,,,,,,,,,,,,,,,,,,,,,
"After One Year, After Two Years, etc. - Entering School/Major (in blue) - Ending (Flow) School/Major (in gray)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Columns - Cohort Year Semester (Entering) (Ex. 20119 = Fall 2011) by Years Lapsed > Entering School/Major > Major Short Title (Entering) > School/Major (Entering) > Flow Status > Ending (Flow) College/School  > Ending (Flow) Major Short Title > Ending (Flow) School/Major ,,,,,,,,,,,,,,,,,,,,,
Headcount,,,,,,,,20039,20049,20059,20069,20079,20089,20099,20109,20119,20129,20139,20149,20159,20169
After One Year,Entering School/Major,C S (BS) HONORS ,E28900,Continuing - Same Major,NATURAL SCIENCES,C S (BS) HONORS ,E28900,,,,,,,,,,,6,1,,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,C S ENTRY-LEVEL ,E28400,,,,,,,,,,1,,,,
,,,,,,COMPUTER SCI BS ,E28600,,,,,,,,,,,1,,,
,,,,,,CS (BSCS TURING) ,E28800,,,,,,,,,,,2,,,
,,,,,,MATH BS HONORS ,E65900,,,,,,,,,,1,,,,
,,,,,,UNDECLARED ,E00100,,,,,,,,,,1,,,,
,,,E28200,Continuing - Same Major,NATURAL SCIENCES,C S (BS) HONORS ,E28200,,,,1,1,1,3,,,,,,,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,CS (BSCS TURING) ,E28100,,,,,,,,1,,,,,,
,,,Major Subtotal,,,,,,,,1,1,1,3,1,,3,9,1,,
